Taxid	Name	Taxid2	Length	tax_id	parent_id	rank	tax_name	root	below_root	superkingdom	below_superkingdom	below_below_superkingdom	below_below_below_superkingdom	below_below_below_below_superkingdom	below_below_below_below_below_superkingdom	below_below_below_below_below_below_superkingdom	kingdom	subkingdom	superphylum	phylum	below_phylum	below_below_phylum	subphylum	below_subphylum	below_below_subphylum	class	below_class	below_below_class	subclass	order	below_order	below_below_order	suborder	family	below_family	below_below_family	below_below_below_family	subfamily	below_subfamily	tribe	genus	below_genus	below_below_genus	subgenus	species_group	species_subgroup	below_species_subgroup	species	below_species	below_below_species	below_below_below_species	subspecies	below_subspecies	below_below_subspecies	below_below_below_subspecies	varietas	below_varietas
10794	"Minute_virus_of_mice"	10794	5149	10794	1511908	below_species	Minute_virus_of_mice	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10780	NA	NA	NA	40119	NA	NA	1506574	NA	NA	NA	NA	NA	NA	1511908	10794	NA	NA	NA	NA	NA	NA	NA	NA
10796	"Porcine_parvovirus"	10796	5075	10796	1511910	below_species	Porcine_parvovirus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10780	NA	NA	NA	40119	NA	NA	1506574	NA	NA	NA	NA	NA	NA	1511910	10796	NA	NA	NA	NA	NA	NA	NA	NA
10798	"Human_parvovirus_B19"	10798	5596	10798	1511900	below_species	Human_parvovirus_B19	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10780	NA	NA	NA	40119	NA	NA	40121	NA	NA	NA	NA	NA	NA	1511900	10798	NA	NA	NA	NA	NA	NA	NA	NA
10799	"H-1_parvovirus"	10799	5176	10799	1511908	below_species	H-1_parvovirus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10780	NA	NA	NA	40119	NA	NA	1506574	NA	NA	NA	NA	NA	NA	1511908	10799	NA	NA	NA	NA	NA	NA	NA	NA
10804	"Adeno-associated_virus_-_2"	10804	4679	10804	1511891	below_species	Adeno-associated_virus_-_2	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10780	NA	NA	NA	40119	NA	NA	10803	NA	NA	NA	NA	NA	NA	1511891	10804	NA	NA	NA	NA	NA	NA	NA	NA
10815	"Abutilon_mosaic_virus"	10815	5217	10815	10814	species	Abutilon_mosaic_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10814	NA	NA	NA	NA	NA	NA	10815	NA	NA	NA	NA	NA	NA	NA	NA	NA
10817	"African_cassava_mosaic_virus"	10817	5503	10817	10814	species	African_cassava_mosaic_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10814	NA	NA	NA	NA	NA	NA	10817	NA	NA	NA	NA	NA	NA	NA	NA	NA
10820	"Chloris_striate_mosaic_virus"	10820	2750	10820	10812	species	Chloris_striate_mosaic_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10812	NA	NA	NA	NA	NA	NA	10820	NA	NA	NA	NA	NA	NA	NA	NA	NA
10821	"Maize_streak_virus"	10821	2690	10821	10812	species	Maize_streak_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10812	NA	NA	NA	NA	NA	NA	10821	NA	NA	NA	NA	NA	NA	NA	NA	NA
10825	"Miscanthus_streak_virus"	10825	2672	10825	10812	species	Miscanthus_streak_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10812	NA	NA	NA	NA	NA	NA	10825	NA	NA	NA	NA	NA	NA	NA	NA	NA
10826	"Panicum_streak_virus"	10826	2705	10826	10812	species	Panicum_streak_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10812	NA	NA	NA	NA	NA	NA	10826	NA	NA	NA	NA	NA	NA	NA	NA	NA
10827	"Potato_yellow_mosaic_virus"	10827	5140	10827	10814	species	Potato_yellow_mosaic_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10814	NA	NA	NA	NA	NA	NA	10827	NA	NA	NA	NA	NA	NA	NA	NA	NA
10829	"Squash_leaf_curl_virus"	10829	5241	10829	10814	species	Squash_leaf_curl_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10814	NA	NA	NA	NA	NA	NA	10829	NA	NA	NA	NA	NA	NA	NA	NA	NA
10830	"Tobacco_yellow_dwarf_virus"	10830	2580	10830	10812	species	Tobacco_yellow_dwarf_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10812	NA	NA	NA	NA	NA	NA	10830	NA	NA	NA	NA	NA	NA	NA	NA	NA
10831	"Tomato_golden_mosaic_virus"	10831	5096	10831	10814	species	Tomato_golden_mosaic_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10814	NA	NA	NA	NA	NA	NA	10831	NA	NA	NA	NA	NA	NA	NA	NA	NA
10832	"Tomato_yellow_leaf_curl_virus"	10832	2781	10832	10814	species	Tomato_yellow_leaf_curl_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10814	NA	NA	NA	NA	NA	NA	10832	NA	NA	NA	NA	NA	NA	NA	NA	NA
10834	"Wheat_dwarf_virus"	10834	2750	10834	10812	species	Wheat_dwarf_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10812	NA	NA	NA	NA	NA	NA	10834	NA	NA	NA	NA	NA	NA	NA	NA	NA
10835	"Tomato_mottle_virus"	10835	5145	10835	10814	species	Tomato_mottle_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10814	NA	NA	NA	NA	NA	NA	10835	NA	NA	NA	NA	NA	NA	NA	NA	NA
10836	"Sugarcane_streak_virus"	10836	2758	10836	10812	species	Sugarcane_streak_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10812	NA	NA	NA	NA	NA	NA	10836	NA	NA	NA	NA	NA	NA	NA	NA	NA
10837	"Digitaria_streak_virus"	10837	2701	10837	10812	species	Digitaria_streak_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10812	NA	NA	NA	NA	NA	NA	10837	NA	NA	NA	NA	NA	NA	NA	NA	NA
10838	"Bean_dwarf_mosaic_virus"	10838	5191	10838	10814	species	Bean_dwarf_mosaic_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10814	NA	NA	NA	NA	NA	NA	10838	NA	NA	NA	NA	NA	NA	NA	NA	NA
10839	"Bean_golden_mosaic_virus"	10839	5197	10839	10814	species	Bean_golden_mosaic_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10814	NA	NA	NA	NA	NA	NA	10839	NA	NA	NA	NA	NA	NA	NA	NA	NA
10840	"Beet_curly_top_virus"	10840	2994	10840	10813	species	Beet_curly_top_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10811	NA	NA	NA	NA	NA	NA	10813	NA	NA	NA	NA	NA	NA	10840	NA	NA	NA	NA	NA	NA	NA	NA	NA
10845	"Enterobacteria_phage_St-1"	10845	6094	10845	10842	species	Enterobacteria_phage_St-1	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10841	NA	NA	NA	NA	NA	NA	10842	NA	NA	NA	NA	NA	NA	10845	NA	NA	NA	NA	NA	NA	NA	NA	NA
10849	"Enterobacteria_phage_alpha3"	10849	6087	10849	374849	species	Enterobacteria_phage_alpha3	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10841	NA	NA	NA	NA	NA	NA	10842	374849	NA	NA	NA	NA	NA	10849	NA	NA	NA	NA	NA	NA	NA	NA	NA
10854	"Spiroplasma_phage_1-R8A2B"	10854	8273	10854	10875	species	Spiroplasma_phage_1-R8A2B	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10860	NA	NA	NA	NA	NA	NA	10875	NA	NA	NA	NA	NA	NA	10854	NA	NA	NA	NA	NA	NA	NA	NA	NA
10855	"Spiroplasma_phage_4"	10855	4421	10855	10852	species	Spiroplasma_phage_4	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10841	NA	NA	NA	686565	NA	NA	10852	NA	NA	NA	NA	NA	NA	10855	NA	NA	NA	NA	NA	NA	NA	NA	NA
10857	"Chlamydia_phage_1"	10857	4877	10857	40274	species	Chlamydia_phage_1	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10841	NA	NA	NA	686565	NA	NA	40274	NA	NA	NA	NA	NA	NA	10857	NA	NA	NA	NA	NA	NA	NA	NA	NA
10862	"Xanthomonas_phage_Cf1c"	10862	7308	10862	10861	species	Xanthomonas_phage_Cf1c	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10860	NA	NA	NA	NA	NA	NA	10861	NA	NA	NA	NA	NA	NA	10862	NA	NA	NA	NA	NA	NA	NA	NA	NA
10867	"Enterobacteria_phage_Ike"	10867	6883	10867	10861	species	Enterobacteria_phage_Ike	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10860	NA	NA	NA	NA	NA	NA	10861	NA	NA	NA	NA	NA	NA	10867	NA	NA	NA	NA	NA	NA	NA	NA	NA
10868	"Enterobacteria_phage_If1"	10868	8454	10868	10861	species	Enterobacteria_phage_If1	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10860	NA	NA	NA	NA	NA	NA	10861	NA	NA	NA	NA	NA	NA	10868	NA	NA	NA	NA	NA	NA	NA	NA	NA
10869	"Enterobacteria_phage_I2-2"	10869	6744	10869	10861	species	Enterobacteria_phage_I2-2	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10860	NA	NA	NA	NA	NA	NA	10861	NA	NA	NA	NA	NA	NA	10869	NA	NA	NA	NA	NA	NA	NA	NA	NA
10870	"Enterobacteria_phage_M13"	10870	6407	10870	10861	species	Enterobacteria_phage_M13	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10860	NA	NA	NA	NA	NA	NA	10861	NA	NA	NA	NA	NA	NA	10870	NA	NA	NA	NA	NA	NA	NA	NA	NA
10871	"Pseudomonas_phage_Pf1"	10871	7349	10871	10861	species	Pseudomonas_phage_Pf1	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10860	NA	NA	NA	NA	NA	NA	10861	NA	NA	NA	NA	NA	NA	10871	NA	NA	NA	NA	NA	NA	NA	NA	NA
10872	"Pseudomonas_phage_Pf3"	10872	5833	10872	10861	species	Pseudomonas_phage_Pf3	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10860	NA	NA	NA	NA	NA	NA	10861	NA	NA	NA	NA	NA	NA	10872	NA	NA	NA	NA	NA	NA	NA	NA	NA
10876	"Acholeplasma_phage_MV-L1"	10876	4491	10876	356630	species	Acholeplasma_phage_MV-L1	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10860	NA	NA	NA	NA	NA	NA	10875	356630	NA	NA	NA	NA	NA	10876	NA	NA	NA	NA	NA	NA	NA	NA	NA
11303	"Bovine_ephemeral_fever_virus"	11303	14900	11303	32613	species	Bovine_ephemeral_fever_virus	1	NA	10239	439488	35301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11157	NA	NA	NA	11270	NA	NA	NA	NA	NA	NA	32613	NA	NA	NA	NA	NA	NA	11303	NA	NA	NA	NA	NA	NA	NA	NA	NA
11636	"Reticuloendotheliosis_virus"	11636	8295	11636	353209	species	Reticuloendotheliosis_virus	1	NA	10239	35268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11632	NA	NA	NA	327045	NA	NA	153135	353209	NA	NA	NA	NA	NA	11636	NA	NA	NA	NA	NA	NA	NA	NA	NA
11757	"Mouse_mammary_tumor_virus"	11757	8805	11757	140052	species	Mouse_mammary_tumor_virus	1	NA	10239	35268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11632	NA	NA	NA	327045	NA	NA	140052	NA	NA	NA	NA	NA	NA	11757	NA	NA	NA	NA	NA	NA	NA	NA	NA
11834	"RD114_retrovirus"	11834	8406	11834	353769	species	RD114_retrovirus	1	NA	10239	35268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11632	NA	NA	NA	327045	NA	NA	153135	353769	NA	NA	NA	NA	NA	11834	NA	NA	NA	NA	NA	NA	NA	NA	NA
11908	"Human_T-lymphotropic_virus_1"	11908	8507	11908	194440	below_species	Human_T-lymphotropic_virus_1	1	NA	10239	35268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11632	NA	NA	NA	327045	NA	NA	153136	NA	NA	NA	NA	NA	NA	194440	11908	NA	NA	NA	NA	NA	NA	NA	NA
11938	"Rauscher_murine_leukemia_virus"	11938	8282	11938	368797	below_below_species	Rauscher_murine_leukemia_virus	1	NA	10239	35268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11632	NA	NA	NA	327045	NA	NA	153135	353212	353210	NA	NA	NA	NA	11786	368797	11938	NA	NA	NA	NA	NA	NA	NA
12336	"Clostridium_phage_c-st"	12336	185683	12336	196896	species	Clostridium_phage_c-st	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10662	196896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12336	NA	NA	NA	NA	NA	NA	NA	NA	NA
12345	"Bacillus_phage_GA-1"	12345	21129	12345	186846	species	Bacillus_phage_GA-1	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10744	NA	NA	NA	542836	NA	NA	186846	NA	NA	NA	NA	NA	NA	12345	NA	NA	NA	NA	NA	NA	NA	NA	NA
12348	"Lactobacillus_phage_LL-H"	12348	34659	12348	196894	species	Lactobacillus_phage_LL-H	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10699	196894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12348	NA	NA	NA	NA	NA	NA	NA	NA	NA
12353	"Enterobacteria_phage_RB69"	12353	167560	12353	329380	species	Enterobacteria_phage_RB69	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10662	NA	NA	NA	1198136	NA	NA	10663	329380	NA	NA	NA	NA	NA	12353	NA	NA	NA	NA	NA	NA	NA	NA	NA
12355	"Enterobacteria_phage_T1"	12355	48836	12355	187217	species	Enterobacteria_phage_T1	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10699	NA	NA	NA	NA	NA	NA	187217	NA	NA	NA	NA	NA	NA	12355	NA	NA	NA	NA	NA	NA	NA	NA	NA
12360	"Staphylococcus_phage_11"	12360	43604	12360	1623298	species	Staphylococcus_phage_11	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10699	NA	NA	NA	NA	NA	NA	1623298	NA	NA	NA	NA	NA	NA	12360	NA	NA	NA	NA	NA	NA	NA	NA	NA
12390	"Lactococcus_phage_phiLC3"	12390	32172	12390	196894	species	Lactococcus_phage_phiLC3	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10699	196894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12390	NA	NA	NA	NA	NA	NA	NA	NA	NA
12402	"Streptococcus_phage_EJ-1"	12402	42935	12402	196896	species	Streptococcus_phage_EJ-1	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10662	196896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12402	NA	NA	NA	NA	NA	NA	NA	NA	NA
12407	"Enterobacteria_phage_PsP3"	12407	30636	12407	140410	species	Enterobacteria_phage_PsP3	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10662	NA	NA	NA	857479	NA	NA	140410	NA	NA	NA	NA	NA	NA	12407	NA	NA	NA	NA	NA	NA	NA	NA	NA
12417	"Lactobacillus_phage_phiadh"	12417	43785	12417	196894	species	Lactobacillus_phage_phiadh	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28883	NA	NA	NA	10699	196894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12417	NA	NA	NA	NA	NA	NA	NA	NA	NA
12435	"Sugarcane_bacilliform_virus"	12435	7317	12435	325348	species	Sugarcane_bacilliform_virus	1	NA	10239	35268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	186534	NA	NA	NA	NA	NA	NA	10652	325348	NA	NA	NA	NA	NA	12435	NA	NA	NA	NA	NA	NA	NA	NA	NA
12480	"African_green_monkey_polyomavirus"	12480	5270	12480	10624	species	African_green_monkey_polyomavirus	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	151341	NA	NA	NA	NA	NA	NA	10624	NA	NA	NA	NA	NA	NA	12480	NA	NA	NA	NA	NA	NA	NA	NA	NA
12509	"Human_herpesvirus_4_type_2"	12509	172764	12509	10376	below_species	Human_herpesvirus_4_type_2	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	548681	NA	NA	NA	10292	NA	NA	NA	10374	NA	NA	10375	NA	NA	NA	NA	NA	NA	10376	12509	NA	NA	NA	NA	NA	NA	NA	NA
12524	"Junonia_coenia_densovirus"	12524	5908	12524	1513188	below_species	Junonia_coenia_densovirus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10780	NA	NA	NA	40120	NA	NA	10806	NA	NA	NA	NA	NA	NA	1513188	12524	NA	NA	NA	NA	NA	NA	NA	NA
12585	"Banana_bunchy_top_virus"	12585	6396	12585	251096	species	Banana_bunchy_top_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	251095	NA	NA	NA	NA	NA	NA	251096	NA	NA	NA	NA	NA	NA	12585	NA	NA	NA	NA	NA	NA	NA	NA	NA
12618	"Chicken_anemia_virus"	12618	2319	12618	227307	species	Chicken_anemia_virus	1	NA	10239	29258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39724	NA	NA	NA	NA	NA	NA	227307	NA	NA	NA	NA	NA	NA	12618	NA	NA	NA	NA	NA	NA	NA	NA	NA
12639	"Duck_hepatitis_B_virus"	12639	3027	12639	10437	species	Duck_hepatitis_B_virus	1	NA	10239	35268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10404	NA	NA	NA	NA	NA	NA	10437	NA	NA	NA	NA	NA	NA	12639	NA	NA	NA	NA	NA	NA	NA	NA	NA
12643	"Ectromelia_virus"	12643	209771	12643	10242	species	Ectromelia_virus	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10240	NA	NA	NA	10241	NA	NA	10242	NA	NA	NA	NA	NA	NA	12643	NA	NA	NA	NA	NA	NA	NA	NA	NA
12657	"Equid_herpesvirus_2"	12657	184427	12657	548688	species	Equid_herpesvirus_2	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	548681	NA	NA	NA	10292	NA	NA	NA	10374	NA	NA	548688	NA	NA	NA	NA	NA	NA	12657	NA	NA	NA	NA	NA	NA	NA	NA	NA
13035	"Dactylococcopsis_salina_PCC_8305"	13035	3781008	13035	292566	below_species	Dactylococcopsis_salina_PCC_8305	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1117	NA	NA	NA	NA	NA	NA	NA	NA	1301283	1118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13034	NA	NA	NA	NA	NA	NA	292566	13035	NA	NA	NA	NA	NA	NA	NA	NA
13642	"Polysphondylium_pallidum"	13642	75306	13642	13641	species	Polysphondylium_pallidum	1	131567	2759	554915	142796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13641	NA	NA	NA	NA	NA	NA	13642	NA	NA	NA	NA	NA	NA	NA	NA	NA
27989	"Plasmodium_mexicanum"	27989	5991	27989	418106	species	Plasmodium_mexicanum	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	418106	NA	NA	NA	27989	NA	NA	NA	NA	NA	NA	NA	NA	NA
28072	"Nostoc_sp._PCC_7524"	28072	6718869	28072	1177	species	Nostoc_sp._PCC_7524	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1117	NA	NA	NA	NA	NA	NA	NA	NA	NA	1161	NA	NA	NA	1162	NA	NA	NA	NA	NA	NA	1177	NA	NA	NA	NA	NA	NA	28072	NA	NA	NA	NA	NA	NA	NA	NA	NA
28173	"Vibrio_nigripulchritudo"	28173	6322155	28173	662	species	Vibrio_nigripulchritudo	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1224	NA	NA	NA	NA	NA	1236	NA	NA	NA	135623	NA	NA	NA	641	NA	NA	NA	NA	NA	NA	662	NA	NA	NA	NA	NA	NA	28173	NA	NA	NA	NA	NA	NA	NA	NA	NA
28288	"Hyphantria_cunea_nucleopolyhedrovirus"	28288	132959	28288	558016	species	Hyphantria_cunea_nucleopolyhedrovirus	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10442	NA	NA	NA	NA	NA	NA	558016	NA	NA	NA	NA	NA	NA	28288	NA	NA	NA	NA	NA	NA	NA	NA	NA
28289	"Cydia_pomonella_granulovirus"	28289	123500	28289	558017	species	Cydia_pomonella_granulovirus	1	NA	10239	35237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10442	NA	NA	NA	NA	NA	NA	558017	NA	NA	NA	NA	NA	NA	28289	NA	NA	NA	NA	NA	NA	NA	NA	NA
