tissue_name	tissue_group	consortium	build	url	filetype	donor_id	sample_id	donor_sex	cell_type
nkcell_2	nkcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C006G5/cytotoxic_CD56-dim_natural_killer_cell/Bisulfite-Seq/CNAG/C006G551.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C005G5	C006G551	Female	"""Cytotoxic CD56-dim natural killer cell"""
pancreas_1	pancreas	KNIH	hg19	http://epigenomesportal.ca/tracks/KNIH/hg19/63942.KNIH.KNIH_001_genomic_DNA.WGB-Seq.methylation_profile.bigWig	bw	KEP20140001	KNIH_001_genomic_dna	Female	"""Islet cell"""
pancreas_2	pancreas	KNIH	hg19	http://epigenomesportal.ca/tracks/KNIH/hg19/63946.KNIH.KNIH_002_genomic_DNA.WGB-Seq.methylation_profile.bigWig	bw	KEP20140002	KNIH_002_genomic_dna	Female	"""Islet cell"""
pancreas_3	pancreas	KNIH	hg19	http://epigenomesportal.ca/tracks/KNIH/hg19/63954.KNIH.KNIH_003_genomic_DNA.WGB-Seq.methylation_profile.bigWig	bw	KEP20140003	KNIH_003_genomic_dna	Female	"""Islet cell"""
pancreas_4	pancreas	KNIH	hg19	http://epigenomesportal.ca/tracks/KNIH/hg19/63958.KNIH.KNIH_004_genomic_DNA.WGB-Seq.methylation_profile.bigWig	bw	KEP20140004	KNIH_004_genomic_dna	Male	"""Islet cell"""
pancreas_5	pancreas	KNIH	hg19	http://epigenomesportal.ca/tracks/KNIH/hg19/63962.KNIH.KNIH_005_genomic_DNA.WGB-Seq.methylation_profile.bigWig	bw	KEP20140005	KNIH_005_genomic_dna	Male	"""Islet cell"""
pancreas_6	pancreas	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF108OVY/@@download/ENCFF108OVY.bigWig	bw	ENCFF108OVY	ENCSR405XVT	Female	"""pancreas"""
pancreas_7	pancreas	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF939DFV/@@download/ENCFF939DFV.bigWig	bw	ENCFF939DFV	ENCSR781LIC	Male	"""pancreas"""
progenitor_1	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62828.Blueprint.CLP_PB_I12.WGB-Seq.methylation_profile.bigWig	bw	12	CLP_PB_I12	Male	"""common lymphoid progenitor from peripheral blood"""
progenitor_2	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62915.Blueprint.MPP_CB_I26.WGB-Seq.methylation_profile.bigWig	bw	26	MPP_CB_I26	Male	"""Multipotent progenitor from cord blood"""
progenitor_3	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62917.Blueprint.MPP_CB_I28.WGB-Seq.methylation_profile.bigWig	bw	28	MPP_CB_I28	Male	"""Multipotent progenitor from cord blood"""
progenitor_4	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62919.Blueprint.MPP_CB_I29.WGB-Seq.methylation_profile.bigWig	bw	29	MPP_CB_I29	Male	"""Multipotent progenitor from cord blood"""
progenitor_5	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62921.Blueprint.MPP_PB_I25.WGB-Seq.methylation_profile.bigWig	bw	25	MPP_PB_I25	Male	"""Multipotent progenitor from peripheral blood"""
progenitor_6	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62923.Blueprint.MPP_PB_I30.WGB-Seq.methylation_profile.bigWig	bw	30	MPP_PB_I30	Male	"""Multipotent progenitor from peripheral blood"""
progenitor_7	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62925.Blueprint.MPP_PB_I31.WGB-Seq.methylation_profile.bigWig	bw	31	MPP_PB_I31	Male	"""Multipotent progenitor from peripheral blood"""
progenitor_8	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62929.Blueprint.MPP_PB_I57.WGB-Seq.methylation_profile.bigWig	bw	57	MPP_PB_I57	Male	"""Multipotent progenitor from peripheral blood"""
progenitor_9	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62830.Blueprint.CLP_PB_I19.WGB-Seq.methylation_profile.bigWig	bw	19	CLP_PB_I19	Male	"""common lymphoid progenitor from peripheral blood"""
progenitor_10	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62835.Blueprint.CMP_PB_I13.WGB-Seq.methylation_profile.bigWig	bw	13	CMP_PB_I13	Male	"""common myeloid progenitor from peripheral blood"""
progenitor_11	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62837.Blueprint.CMP_PB_I14.WGB-Seq.methylation_profile.bigWig	bw	14	CMP_PB_I14	Male	"""common myeloid progenitor from peripheral blood"""
progenitor_12	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62839.Blueprint.CMP_PB_I15.WGB-Seq.methylation_profile.bigWig	bw	15	CMP_PB_I15	Male	"""common myeloid progenitor from peripheral blood"""
progenitor_13	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62844.Blueprint.GMP_PB_I47.WGB-Seq.methylation_profile.bigWig	bw	47	GMP_PB_I47	Male	"""granulocyte macrophage progenitor from peripheral blood"""
progenitor_14	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62846.Blueprint.GMP_PB_I48.WGB-Seq.methylation_profile.bigWig	bw	48	GMP_PB_I48	Male	"""granulocyte macrophage progenitor from peripheral blood"""
progenitor_15	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62848.Blueprint.GMP_PB_I49.WGB-Seq.methylation_profile.bigWig	bw	49	GMP_PB_I49	Male	"""granulocyte macrophage progenitor from peripheral blood"""
progenitor_16	progenitor	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62913.Blueprint.MPP_BM_I27.WGB-Seq.methylation_profile.bigWig	bw	27	MPP_BM_I27	Male	"""Multipotent progenitor from bone marrow"""
skin_1	skin	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF692ZLO/@@download/ENCFF692ZLO.bigWig	bw	ENCFF692ZLO	ENSCR930WUY	Female	"""lower leg skin"""
skin_2	skin	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF008CKL/@@download/ENCFF008CKL.bigWig	bw	ENCSR128RMY	ENCFF008CKL	Male	"""lower leg skin"""
spleen_1	spleen	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF413GZW/@@download/ENCFF413GZW.bigWig	bw	ENCFF413GZW	ENCSR757JTX	Male	"""spleen"""
spleen_2	spleen	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF422YPS/@@download/ENCFF422YPS.bigWig	bw	ENCFF422YPS	ENCSR652ELW	Male	"""spleen"""
spleen_3	spleen	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF865OXJ/@@download/ENCFF865OXJ.bigWig	bw	ENCFF865OXJ	ENCSR750CPN	Female	"""spleen"""
spleen_4	spleen	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF039FRP/@@download/ENCFF039FRP.bigWig	bw	ENCSR862LLM	ENCFF039FRP	Female	"""spleen"""
tcell_1	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/145.2/CD4-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/P582.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	145.2	P582	Female	"""CD4-positive, alpha-beta T Cell"""
tcell_2	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S008H1/CD4-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/S008H151.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S008H1	S008H151	Male	"""CD4-positive, alpha-beta T Cell"""
tcell_3	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S009W4/CD4-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/S009W451.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S009W4	S009W451	Female	"""CD4-positive, alpha-beta T Cell"""
tcell_4	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00XTP/regulatory_T_cell/Bisulfite-Seq/CNAG/S00XTP51.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S00XTP	S00XTP51	Male	"""regulatory T cell"""
tcell_5	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/299.2/CD4-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/P584.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	299.2	P584	Male	"""CD4-positive, alpha-beta T Cell"""
tcell_6	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/329.2/CD4-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/P586.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	329.2	P586	Female	"""CD4-positive, alpha-beta T Cell"""
tcell_7	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/5.2/CD4-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/P580.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	5.2	P580	Male	"""CD4-positive, alpha-beta T Cell"""
tcell_8	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C00256/CD8-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/C00256A1bs.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C00256	C00256A1	Male	"""CD8-positive, alpha-beta T Cell"""
tcell_9	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C003VO/CD8-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/C003VO55.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C003VO	C003VO55	Female	"""CD8-positive, alpha-beta T Cell"""
tcell_10	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S001U3/regulatory_T_cell/Bisulfite-Seq/CNAG/S001U353.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S001U3	S001U353	Female	"""regulatory T cell"""
tcell_11	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S007DD/CD4-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/S007DD51.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S007DD	S007DD51	Female	"""CD4-positive, alpha-beta T Cell"""
tcell_12	tcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S007G7/CD4-positive_alpha-beta_T_cell/Bisulfite-Seq/CNAG/S007G756.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S007G7	S007G756	Male	"""CD4-positive, alpha-beta T Cell"""
